1, truck,  84%, 577, 535, 192, 237
2, person,  84%, 38, 221, 41, 86
3, car,  80%, 559, 189, 107, 96
4, car,  78%, 874, 528, 244, 212
5, car,  78%, 1107, 779, 433, 373
6, car,  75%, 1773, 1038, 222, 91
7, person,  73%, 1554, 390, 39, 78
8, car,  73%, 1910, 761, 89, 146
9, car,  72%, 1491, 652, 337, 224
10, bus,  69%, 625, 33, 109, 90
11, car,  67%, 633, 288, 132, 98
12, bicycle,  67%, 1151, 277, 54, 33
13, person,  66%, 1768, 509, 64, 88
14, bus,  65%, 730, 194, 218, 214
15, car,  64%, 1045, 456, 255, 244
16, car,  63%, 522, 158, 79, 67
17, car,  63%, 1321, 703, 325, 269
18, bus,  62%, 267, 84, 117, 149
19, car,  62%, 448, 265, 122, 99
20, person,  61%, 1310, 308, 25, 43
21, person,  60%, 1678, 415, 52, 78
22, bus,  59%, 538, 60, 124, 126
23, person,  58%, 987, 382, 39, 80
24, car,  58%, 742, 396, 187, 154
25, car,  55%, 357, 91, 49, 43
26, person,  53%, 1842, 480, 45, 88
27, bus,  53%, 616, 102, 125, 152
28, person,  52%, 1147, 206, 15, 46
29, person,  49%, 1359, 322, 30, 77
30, person,  46%, 1199, 218, 20, 52
31, car,  45%, 317, 22, 45, 34
32, bus,  41%, 0, 57, 72, 173
