1, person,  85%, 885, 458, 62, 109
2, person,  79%, 820, 424, 38, 112
3, car,  78%, 575, 239, 71, 68
4, person,  77%, 477, 371, 36, 74
5, car,  76%, 593, 196, 47, 40
6, car,  75%, 107, 396, 283, 137
7, car,  74%, 529, 201, 43, 48
8, person,  73%, 765, 429, 35, 116
9, person,  73%, 834, 362, 37, 94
10, person,  72%, 207, 310, 26, 67
11, car,  72%, 385, 265, 73, 101
12, person,  70%, 137, 303, 24, 70
13, person,  66%, 807, 307, 27, 79
14, person,  64%, 274, 333, 27, 66
15, car,  63%, 474, 192, 41, 38
16, person,  58%, 296, 367, 35, 44
17, person,  57%, 833, 317, 25, 60
18, person,  55%, 401, 510, 36, 60
19, person,  54%, 741, 350, 27, 78
20, car,  53%, 402, 244, 54, 34
21, person,  53%, 185, 309, 23, 68
22, person,  50%, 224, 374, 27, 30
23, person,  50%, 289, 236, 18, 44
24, person,  47%, 187, 287, 21, 37
25, person,  47%, 296, 282, 21, 51
26, person,  45%, 412, 195, 16, 47
27, person,  41%, 787, 307, 29, 81
28, traffic light,  41%, 793, 90, 26, 42
29, person,  41%, 266, 304, 20, 52
30, bicycle,  40%, 482, 414, 24, 45
