1, person,  90%, 60, 354, 54, 128
2, person,  87%, 475, 360, 45, 121
3, person,  86%, 521, 363, 50, 128
4, person,  82%, 417, 362, 37, 112
5, car,  78%, 704, 372, 255, 83
6, car,  76%, 171, 367, 62, 30
7, person,  74%, 259, 360, 23, 57
8, person,  73%, 570, 357, 37, 103
9, person,  73%, 10, 374, 42, 100
10, person,  68%, 326, 381, 41, 103
11, person,  67%, 291, 358, 29, 83
12, car,  61%, 132, 364, 42, 31
13, person,  61%, 394, 368, 17, 47
14, person,  59%, 694, 363, 24, 57
15, person,  58%, 112, 367, 25, 65
16, umbrella,  57%, 328, 363, 62, 22
17, person,  46%, 627, 365, 28, 79
18, person,  45%, 234, 376, 24, 43
19, person,  45%, 381, 367, 15, 41
20, backpack,  44%, 63, 374, 23, 40
21, person,  43%, 609, 361, 25, 78
22, person,  42%, 522, 359, 17, 45
23, person,  41%, 669, 365, 16, 45
24, traffic light,  41%, 786, 280, 15, 34
25, person,  40%, 993, 357, 26, 62
